id,date,split,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms,circumplex.arousal_was_missing_originally,circumplex.valence_was_missing_originally,target_next_obs_mood,target_class
AS14.01,2014-02-25,train,-0.5659316535286611,-0.5846946004024074,-0.7903057350396968,-0.3507742095576412,,,,-0.5623657661635346,-0.17430831059134258,,,,,-0.15796701423603182,-1.26964865273941,-1.4770104361114242,-1.056467478602101,-1.6538168612141468,,0.1665642601029784,0.1665642601029784,6.25,6
AS14.01,2014-02-26,train,-0.5659316535286611,-0.5846946004024074,-0.7903057350396968,-0.3507742095576412,,,,-0.5623657661635346,-0.17430831059134258,,,,,-0.7732069644184714,0.04633984401746193,0.32041615860319045,-1.056467478602101,-1.6538168612141468,2.0,0.1665642601029784,0.1665642601029784,6.333333333333333,6
AS14.01,2014-03-20,train,-0.5659316535286611,-0.5846946004024074,-0.7903057350396968,-0.3507742095576412,,,,-0.5623657661635346,-0.17430831059134258,,45.173,1.002,,-0.7732069644184714,-1.2141042103582893,-1.4368897056317325,-1.056467478602101,-1.6538168612141468,,0.1665642601029784,0.1665642601029784,6.2,6
AS14.01,2014-03-21,train,-0.06477950677912074,0.63806850067636,2.5225977871453455,0.34325310133082165,19.147,,172.206,0.3345898072251652,2.611558667008374,429.704,,226.55900000000003,,0.7648929110376276,0.6028343735685435,-0.783489961070542,-1.1205268124754006,2.17555916229109,,0.1665642601029784,0.1665642601029784,6.4,6
AS14.01,2014-03-22,train,0.9167651394501257,-0.31147026693900637,1.1380616213259234,-0.7104124477514129,13.051,,,-0.22150803975095187,-0.625013841219981,37.305,,117.62100000000001,,-0.15796701423603182,0.8923561058756535,-0.6942227068424559,-0.8642894769822017,0.22297945342863734,1.0,0.1665642601029784,0.1665642601029784,6.8,7
AS14.01,2014-03-23,train,0.01817883764365962,-0.14117820310184162,2.0257297870315742,-0.7087653776588578,34.233000000000004,,,-0.32094025746065247,-0.14770481973890728,,,30.086,30.386,-0.15796701423603182,0.9913440059444346,0.06886259679187863,-0.35181480599580517,0.6682942708969358,,0.1665642601029784,0.1665642601029784,6.0,6
AS14.01,2014-03-24,train,-0.5906211814152523,0.08234232279022613,2.67053992676831,-0.747535989416781,20.063000000000002,,3.01,-0.3455430554050157,1.0962615590907505,35.004999999999995,,178.732,,1.9953728114025067,1.2699058670176309,-1.4518114356847398,-1.3767641479685995,1.1941476580440995,,0.1665642601029784,0.1665642601029784,6.75,7
AS14.01,2014-03-25,train,-0.4053176698208871,-0.0995111893392124,2.182041848662885,-0.750892982570198,7.019,,,0.09530845298000427,0.35567904344849843,,181.97400000000002,208.832,,1.9953728114025067,0.8007164875225341,-0.6757243137898379,-0.4158741398691046,0.9252867871031932,1.0,0.1665642601029784,0.1665642601029784,6.6,7
AS14.01,2014-03-26,train,-0.37730975207948086,0.049013800659060906,3.117761490519416,0.6065264578081179,13.172,,,-0.2240409694674905,1.6355769791419328,,,33.365,,1.9953728114025067,0.06890899800246317,-0.3147574619452477,-0.608052141489004,1.249334629400729,,0.1665642601029784,0.1665642601029784,7.0,7
AS14.01,2014-03-27,train,0.17824904280150963,0.00518522498557262,2.104216646486994,0.1695532827637122,7.02,,127.263,-0.37706134052895157,-0.08475514524143818,47.314,,109.691,,-0.4655869893272516,0.4611391409970687,0.3197870229117435,-0.0955774705026063,0.5157003970597807,1.0,0.1665642601029784,0.1665642601029784,6.4,6
AS14.01,2014-03-28,train,-0.43086176792298164,0.041591307236458874,-0.7608573025549425,0.759507359437959,16.054000000000002,41.125,,0.2803968923596886,-0.40342381394557375,604.806,,160.88100000000003,,0.4572729359464078,-0.6113584608206917,-0.21162360798352212,-0.8642894769822017,-0.2216735368616797,,0.1665642601029784,0.1665642601029784,8.0,8
AS14.01,2014-03-29,train,-0.6933119034071611,0.4960233498592942,0.05955259171055587,1.2730096640470123,,,,0.05908166749927795,-0.39659698399216875,52.435,,289.023,,0.14965296085518798,0.5445752100137463,0.6477388109318344,1.185609206963387,0.6301575340306068,1.0,0.1665642601029784,0.1665642601029784,7.5,8
AS14.01,2014-03-30,train,-0.8757211196631592,-0.39629945556179846,-0.5128942117330367,1.4246706533424087,,,,-0.3163063705373726,-0.7129603277925127,,66.477,38.296,,0.14965296085518798,-0.4488309770006226,0.12991766940512134,0.5450158682303903,-0.3387828134106903,,0.1665642601029784,0.1665642601029784,7.4,7
AS14.01,2014-03-31,train,-0.6713322122230956,0.4173408000110465,1.6144199488818516,0.6737066112407579,16.13,51.176,,0.4476998454041742,0.15836437764976558,139.25,29.29,119.654,,0.7648929110376276,0.6579369674297847,0.13648794592693858,0.4168972004837914,0.6602367366250244,,0.1665642601029784,0.1665642601029784,6.0,6
AS14.01,2014-04-01,train,-0.21375173240789724,0.443747235148525,2.346971634449703,0.5963668395464081,141.042,105.936,92.388,-0.13100194490278944,1.8382517326553718,823.721,,447.757,,-0.7732069644184714,0.40431480549743837,-1.4516635374818965,-1.3767641479685995,1.0202989254151231,,0.1665642601029784,0.1665642601029784,6.5,6
AS14.01,2014-04-02,train,-0.3715034493383951,0.6964948890752011,2.5149729746860174,1.0922219645923716,51.65,,90.481,0.6369509289691778,1.5320654032009937,,,317.155,,0.14965296085518798,0.663183922098218,-0.21932235680574846,-0.7361708092356029,1.3740442587440949,,0.1665642601029784,0.1665642601029784,6.4,6
AS14.01,2014-04-03,train,-0.8743322571473734,0.4666992907972929,4.308778655821507,0.5171028000531243,5.009,,,0.23308019444562134,1.0921246203807535,19.082,,173.68900000000002,,0.14965296085518798,-1.4548758184414843,-1.5847928065875585,-0.8642894769822017,1.7815750221112012,,0.1665642601029784,0.1665642601029784,6.2,6
AS14.01,2014-04-04,train,-0.13504050696988554,0.24141583184451898,1.5113436227550487,1.225597574954177,,,,-0.17362585055133184,0.026619827606049418,158.241,,29.253,,-0.4655869893272516,0.42203525749393195,-0.6861533459784112,-1.1205268124754006,0.3419982531122612,1.0,0.1665642601029784,0.1665642601029784,6.8,7
AS14.01,2014-04-05,train,-0.20841533996398698,-0.26168649127007404,-0.03759521706737032,-0.737737372819193,,,,-0.28830669785687635,-0.5102876474129796,187.945,,118.95599999999999,,-0.4655869893272516,-0.2637059349493519,-0.2527574962263264,-0.35181480599580517,-0.665316856264611,,0.1665642601029784,0.1665642601029784,6.5,6
AS14.01,2014-04-06,train,-0.7295364314653248,0.27368538250141805,0.31538489092386784,-0.5590979555889904,,114.406,,-0.34916377044168007,-0.5535622445728264,,,46.249,,0.14965296085518798,-0.44383828888702015,-0.2623461949928907,-0.7361708092356029,0.517255784547556,,0.1665642601029784,0.1665642601029784,6.5,6
