id,time,mood_lag1,mood_lag2,activity_lag1,mood_mean_3d,mood_std_3d,activity_mean_3d,screen_mean_3d,social_usage_mean_3d,entertainment_usage_mean_3d,circumplex.arousal_mean_3d,circumplex.valence_mean_3d,arousal_x_valence,activity_std_5d,screen_std_5d,sin_day,cos_day,target_mood
AS14.02,2014-03-16 to 2014-03-21,8.0,6.0,0.2528,7.4286,0.9794,0.2401,3070.3196,2136.6375,123.4945,0.2143,0.6429,-1.0,0.0674,677.3382,-0.4339,-0.901,7.5
AS14.02,2014-03-17 to 2014-03-22,6.0,6.0,0.503,7.1538,0.9484,0.2552,3070.4581,1856.002,110.3565,-0.2308,0.6154,-0.0,0.062,736.1775,-0.9749,-0.2225,6.5
AS14.02,2014-03-18 to 2014-03-23,6.0,6.0,0.2504,7.0833,0.862,0.3473,3678.8473,2003.4276,267.1108,-0.75,0.3333,1.0,0.112,806.3704,-0.7818,0.6235,6.25
AS14.02,2014-03-19 to 2014-03-24,5.0,6.0,0.1681,6.75,0.9242,0.3313,3722.1013,1888.5596,303.9381,-0.9167,0.0833,-1.0,0.1033,810.2125,0.0,1.0,6.4
AS14.02,2014-03-20 to 2014-03-25,8.0,8.0,0.2191,6.3846,0.8356,0.3094,3031.6898,1534.1372,392.6884,-0.5385,-0.2308,-0.0,0.1073,1006.8214,0.7818,0.6235,7.75
AS14.02,2014-03-21 to 2014-03-26,7.0,6.0,0.2738,6.7692,0.973,0.2215,2579.0237,1352.2243,351.5794,-0.6154,0.1538,-2.0,0.1115,1053.604,0.9749,-0.2225,7.2
AS14.02,2014-03-22 to 2014-03-27,8.0,7.0,0.2733,7.0714,1.0996,0.2253,2366.6582,1500.3404,510.5201,-0.7143,0.2857,1.0,0.1064,949.7686,0.4339,-0.901,7.25
AS14.02,2014-03-23 to 2014-03-28,8.0,5.0,0.2474,7.3846,0.9231,0.2482,2785.3013,1791.6893,470.6928,-0.8462,0.5385,-1.0,0.0418,745.3405,-0.4339,-0.901,6.8
AS14.02,2014-03-24 to 2014-03-29,9.0,6.0,0.4535,7.0714,1.0996,0.2574,3174.08,2000.5913,386.3139,-0.6429,0.5,-1.0,0.0382,819.1612,-0.9749,-0.2225,7.25
AS14.02,2014-03-25 to 2014-03-30,5.0,7.0,0.2864,7.0769,1.0714,0.2984,3080.6438,1754.5452,258.3719,-0.4615,0.4615,1.0,0.0711,649.2672,-0.7818,0.6235,7.0
